"Vi(DAC)","Vo(ADC-s0)","Vo(ADC-s1)","Vo(ADC-s2)","Vo(ADC-s3)","Vo(ADC-s4)","Vo(ADC-s5)","Vo(ADC-s6)","Vo(ADC-s7)"
0.717774,0,5,5,0,0,5,0,0
0.722656,0,5,5,0,0,5,0,0
0.727539,0,5,5,0,0,5,0,0
0.732422,0,5,5,0,0,5,0,0
0.737305,5,5,5,0,0,5,0,0
0.742188,5,5,5,0,0,5,0,0
0.747070,5,5,5,0,0,5,0,0
0.751953,5,5,5,0,0,5,0,0
0.756836,5,5,5,0,0,5,0,0
0.761719,0,0,0,5,0,5,0,0
0.766602,0,0,0,5,0,5,0,0
0.771484,0,0,0,5,0,5,0,0
0.776367,0,0,0,5,0,5,0,0
0.781250,5,0,0,5,0,5,0,0
0.786133,5,0,0,5,0,5,0,0
0.791016,5,0,0,5,0,5,0,0
0.795899,0,5,0,5,0,5,0,0
0.800781,0,5,0,5,0,5,0,0
0.805664,0,5,0,5,0,5,0,0
0.810547,0,5,0,5,0,5,0,0
0.815430,5,5,0,5,0,5,0,0
0.820313,5,5,0,5,0,5,0,0
0.825195,5,5,0,5,0,5,0,0
0.830078,5,5,0,5,0,5,0,0
0.834961,0,0,5,5,0,5,0,0
0.839844,0,0,5,5,0,5,0,0
0.844727,0,0,5,5,0,5,0,0
0.849609,0,0,5,5,0,5,0,0
0.854492,5,0,5,5,0,5,0,0
0.859375,5,0,5,5,0,5,0,0
0.864258,5,0,5,5,0,5,0,0
0.869141,0,5,5,5,0,5,0,0
0.874024,0,5,5,5,0,5,0,0
0.878906,0,5,5,5,0,5,0,0
0.883789,0,5,5,5,0,5,0,0
0.888672,5,5,5,5,0,5,0,0
0.893555,5,5,5,5,0,5,0,0
0.898438,5,5,5,5,0,5,0,0
0.903320,5,5,5,5,0,5,0,0
0.908203,0,0,0,0,5,5,0,0
0.913086,0,0,0,0,5,5,0,0
0.917969,0,0,0,0,5,5,0,0
0.922852,0,0,0,0,5,5,0,0
0.927734,0,0,0,0,5,5,0,0
0.932617,5,0,0,0,5,5,0,0
0.937500,5,0,0,0,5,5,0,0
0.942383,5,0,0,0,5,5,0,0
0.947266,5,0,0,0,5,5,0,0
0.952149,0,5,0,0,5,5,0,0
0.957031,0,5,0,0,5,5,0,0
0.961914,0,5,0,0,5,5,0,0
0.966797,5,5,0,0,5,5,0,0
0.971680,5,5,0,0,5,5,0,0
0.976563,5,5,0,0,5,5,0,0
0.981445,5,5,0,0,5,5,0,0
0.986328,5,5,0,0,5,5,0,0
0.991211,0,0,5,0,5,5,0,0
0.996094,0,0,5,0,5,5,0,0
1.000977,0,0,5,0,5,5,0,0
1.005859,5,0,5,0,5,5,0,0
1.010742,5,0,5,0,5,5,0,0
1.015625,5,0,5,0,5,5,0,0
1.020508,0,5,5,0,5,5,0,0
1.025391,0,5,5,0,5,5,0,0
1.030274,0,5,5,0,5,5,0,0
1.035156,0,5,5,0,5,5,0,0
1.040039,5,5,5,0,5,5,0,0
1.044922,5,5,5,0,5,5,0,0
1.049805,5,5,5,0,5,5,0,0
1.054688,5,5,5,0,5,5,0,0
1.059570,0,0,0,5,5,5,0,0
1.064453,0,0,0,5,5,5,0,0
1.069336,0,0,0,5,5,5,0,0
1.074219,0,0,0,5,5,5,0,0
1.079102,0,0,0,5,5,5,0,0
1.083984,5,0,0,5,5,5,0,0
1.088867,5,0,0,5,5,5,0,0
1.093750,5,0,0,5,5,5,0,0
1.098633,5,0,0,5,5,5,0,0
1.103516,0,5,0,5,5,5,0,0
1.108399,0,5,0,5,5,5,0,0
1.113281,0,5,0,5,5,5,0,0
1.118164,5,5,0,5,5,5,0,0
1.123047,5,5,0,5,5,5,0,0
1.127930,5,5,0,5,5,5,0,0
1.132813,5,5,0,5,5,5,0,0
1.137695,0,0,5,5,5,5,0,0
1.142578,0,0,5,5,5,5,0,0
1.147461,0,0,5,5,5,5,0,0
1.152344,0,0,5,5,5,5,0,0
1.157227,5,0,5,5,5,5,0,0
1.162109,5,0,5,5,5,5,0,0
1.166992,5,0,5,5,5,5,0,0
1.171875,0,5,5,5,5,5,0,0
1.176758,0,5,5,5,5,5,0,0
1.181641,0,5,5,5,5,5,0,0
1.186524,0,5,5,5,5,5,0,0
1.191406,0,5,5,5,5,5,0,0
1.196289,5,5,5,5,5,5,0,0
1.201172,5,5,5,5,5,5,0,0
1.206055,5,5,5,5,5,5,0,0
1.210938,5,5,5,5,5,5,0,0
1.215820,5,5,5,5,5,5,0,0
1.220703,0,0,0,0,0,0,5,0
1.225586,0,0,0,0,0,0,5,0
1.230469,0,0,0,0,0,0,5,0
1.235352,5,0,0,0,0,0,5,0
1.240234,5,0,0,0,0,0,5,0
1.245117,5,0,0,0,0,0,5,0
1.250000,5,0,0,0,0,0,5,0
1.254883,0,5,0,0,0,0,5,0
1.259766,0,5,0,0,0,0,5,0
1.264649,0,5,0,0,0,0,5,0
1.269531,5,5,0,0,0,0,5,0
1.274414,5,5,0,0,0,0,5,0
1.279297,5,5,0,0,0,0,5,0
1.284180,5,5,0,0,0,0,5,0
1.289063,5,5,0,0,0,0,5,0
1.293945,0,0,5,0,0,0,5,0
1.298828,0,0,5,0,0,0,5,0
1.303711,0,0,5,0,0,0,5,0
1.308594,0,0,5,0,0,0,5,0
1.313477,5,0,5,0,0,0,5,0
1.318360,5,0,5,0,0,0,5,0
1.323242,5,0,5,0,0,0,5,0
1.328125,0,5,5,0,0,0,5,0
1.333008,0,5,5,0,0,0,5,0
1.337891,0,5,5,0,0,0,5,0
1.342774,0,5,5,0,0,0,5,0
1.347656,5,5,5,0,0,0,5,0
1.352539,5,5,5,0,0,0,5,0
1.357422,5,5,5,0,0,0,5,0
1.362305,5,5,5,0,0,0,5,0
1.367188,5,5,5,0,0,0,5,0
1.372070,0,0,0,5,0,0,5,0
1.376953,0,0,0,5,0,0,5,0
1.381836,0,0,0,5,0,0,5,0
1.386719,0,0,0,5,0,0,5,0
1.391602,5,0,0,5,0,0,5,0
1.396485,5,0,0,5,0,0,5,0
1.401367,5,0,0,5,0,0,5,0
1.406250,0,5,0,5,0,0,5,0
1.411133,0,5,0,5,0,0,5,0
1.416016,0,5,0,5,0,0,5,0
1.420899,0,5,0,5,0,0,5,0
1.425781,5,5,0,5,0,0,5,0
1.430664,5,5,0,5,0,0,5,0
1.435547,5,5,0,5,0,0,5,0
1.440430,5,5,0,5,0,0,5,0
1.445313,0,0,5,5,0,0,5,0
1.450195,0,0,5,5,0,0,5,0
1.455078,0,0,5,5,0,0,5,0
1.459961,0,0,5,5,0,0,5,0
1.464844,5,0,5,5,0,0,5,0
1.469727,5,0,5,5,0,0,5,0
1.474610,5,0,5,5,0,0,5,0
1.479492,0,5,5,5,0,0,5,0
1.484375,0,5,5,5,0,0,5,0
1.489258,0,5,5,5,0,0,5,0
1.494141,0,5,5,5,0,0,5,0
1.499024,5,5,5,5,0,0,5,0
1.503906,5,5,5,5,0,0,5,0
1.508789,5,5,5,5,0,0,5,0
1.513672,5,5,5,5,0,0,5,0
1.518555,5,5,5,5,0,0,5,0
1.523438,0,0,0,0,5,0,5,0
1.528320,0,0,0,0,5,0,5,0
1.533203,0,0,0,0,5,0,5,0
1.538086,0,0,0,0,5,0,5,0
1.542969,5,0,0,0,5,0,5,0
1.547852,5,0,0,0,5,0,5,0
1.552735,5,0,0,0,5,0,5,0
1.557617,5,0,0,0,5,0,5,0
1.562500,0,5,0,0,5,0,5,0
1.567383,0,5,0,0,5,0,5,0
1.572266,0,5,0,0,5,0,5,0
1.577149,5,5,0,0,5,0,5,0
1.582031,5,5,0,0,5,0,5,0
1.586914,5,5,0,0,5,0,5,0
1.591797,5,5,0,0,5,0,5,0
1.596680,5,5,0,0,5,0,5,0
1.601563,0,0,5,0,5,0,5,0
1.606445,0,0,5,0,5,0,5,0
1.611328,0,0,5,0,5,0,5,0
1.616211,5,0,5,0,5,0,5,0
1.621094,5,0,5,0,5,0,5,0
1.625977,5,0,5,0,5,0,5,0
1.630860,5,0,5,0,5,0,5,0
1.635742,0,5,5,0,5,0,5,0
1.640625,0,5,5,0,5,0,5,0
1.645508,0,5,5,0,5,0,5,0
1.650391,5,5,5,0,5,0,5,0
1.655274,5,5,5,0,5,0,5,0
1.660156,5,5,5,0,5,0,5,0
1.665039,5,5,5,0,5,0,5,0
1.669922,0,0,0,5,5,0,5,0
1.674805,0,0,0,5,5,0,5,0
1.679688,0,0,0,5,5,0,5,0
1.684570,0,0,0,5,5,0,5,0
1.689453,0,0,0,5,5,0,5,0
1.694336,5,0,0,5,5,0,5,0
